age,gender,country,education,job_role,code_time_numeric,has_machine_learning_numeric
35-39,Male,Germany,Bachelor’s degree,Student,3,1
30-34,Male,United States of America,Doctoral degree,Research Scientist,4,1
40-44,Male,Germany,Master’s degree,Data Scientist,5,1
35-39,Male,Norway,Doctoral degree,Software Engineer,5,0
22-24,Male,United States of America,Master’s degree,Student,3,1
50-54,Male,United States of America,Master’s degree,Data Analyst,1,0
30-34,Female,United States of America,Master’s degree,Data Analyst,2,0
25-29,Male,Austria,Master’s degree,Software Engineer,3,1
50-54,Male,Czech Republic,Master’s degree,Student,1,1
25-29,Female,United States of America,Master’s degree,Data Scientist,4,1
25-29,Male,Egypt,Bachelor’s degree,Data Scientist,2,1
30-34,Female,France,Master’s degree,Data Scientist,4,1
22-24,Male,Italy,Master’s degree,Student,1,1
22-24,Female,Germany,Bachelor’s degree,Student,1,1
55-59,Male,United States of America,Doctoral degree,Other,6,0
40-44,Female,United States of America,Master’s degree,Other,1,0
25-29,Male,India,Master’s degree,Statistician,3,1
70+,Male,Canada,Bachelor’s degree,Other,5,0
35-39,Male,Colombia,Master’s degree,Data Scientist,3,0
22-24,Male,United States of America,Bachelor’s degree,Other,3,1
25-29,Male,India,Master’s degree,Other,2,0
25-29,Male,India,Bachelor’s degree,Other,0,0
45-49,Male,United States of America,Bachelor’s degree,Data Scientist,3,1
30-34,Male,Canada,No formal education past high school,Other,2,0
35-39,Male,United States of America,Bachelor’s degree,Other,5,1
40-44,Male,Belgium,Master’s degree,Research Scientist,4,1
35-39,Male,Other,Master’s degree,Software Engineer,2,1
30-34,Male,Mexico,Master’s degree,Software Engineer,2,0
25-29,Male,India,Master’s degree,Not employed,1,1
22-24,Male,Portugal,Doctoral degree,Student,1,1
22-24,Male,Other,Bachelor’s degree,Student,2,1
35-39,Male,Canada,Doctoral degree,Data Analyst,2,1
30-34,Male,Canada,Master’s degree,Software Engineer,4,0
30-34,Male,Morocco,Master’s degree,Data Analyst,2,0
35-39,Male,Canada,Bachelor’s degree,Other,3,0
35-39,Male,Other,Master’s degree,Product/Project Manager,4,1
50-54,Male,Brazil,No formal education past high school,Business Analyst,1,0
30-34,Male,Norway,Master’s degree,Data Scientist,5,1
25-29,Female,Turkey,Master’s degree,Data Analyst,4,1
25-29,Male,Japan,Master’s degree,Other,2,0
55-59,Male,Other,Master’s degree,Business Analyst,4,0
18-21,Male,Other,Master’s degree,Data Scientist,1,0
25-29,Male,Brazil,Master’s degree,Data Scientist,4,1
30-34,Male,Sweden,Doctoral degree,Data Scientist,4,1
22-24,Male,India,Master’s degree,Data Scientist,1,0
25-29,Male,United States of America,Bachelor’s degree,Data Analyst,3,1
30-34,Female,United States of America,Bachelor’s degree,Data Analyst,1,1
25-29,Male,United States of America,Bachelor’s degree,Software Engineer,3,0
40-44,Male,Other,Master’s degree,Statistician,5,0
30-34,Male,Canada,Bachelor’s degree,Other,1,0
35-39,Male,Australia,No formal education past high school,Data Scientist,1,1
18-21,Male,India,Bachelor’s degree,Student,1,1
30-34,Male,Turkey,Doctoral degree,Software Engineer,4,1
25-29,Female,France,Master’s degree,Student,2,1
30-34,Male,United States of America,Bachelor’s degree,Data Analyst,3,1
18-21,Male,India,Bachelor’s degree,Student,1,1
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,4,1
35-39,Male,United States of America,Bachelor’s degree,Data Engineer,4,1
50-54,Female,Brazil,Master’s degree,Product/Project Manager,0,0
25-29,Male,United States of America,Doctoral degree,Not employed,2,1
35-39,Female,Pakistan,Doctoral degree,Data Scientist,2,1
40-44,Male,Romania,Doctoral degree,Not employed,4,1
40-44,Male,Portugal,Master’s degree,Data Analyst,4,0
22-24,Male,United States of America,Bachelor’s degree,Student,2,1
40-44,Male,United States of America,Bachelor’s degree,Software Engineer,4,0
60-69,Male,Brazil,Master’s degree,Data Scientist,0,0
70+,Male,Canada,Master’s degree,Not employed,6,1
25-29,Male,Australia,Master’s degree,Student,1,1
35-39,Male,Other,Doctoral degree,Data Scientist,4,1
60-69,Male,United States of America,Bachelor’s degree,Business Analyst,6,0
45-49,Male,United States of America,Doctoral degree,Data Analyst,5,0
35-39,Male,United States of America,Doctoral degree,Data Scientist,5,1
18-21,Male,United States of America,Bachelor’s degree,Student,3,1
35-39,Male,Algeria,Master’s degree,Other,1,0
25-29,Male,Sweden,Master’s degree,Other,4,0
30-34,Male,United States of America,Master’s degree,Other,3,1
40-44,Male,France,Master’s degree,Product/Project Manager,6,0
30-34,Male,Ukraine,Master’s degree,Software Engineer,1,1
30-34,Male,Argentina,Master’s degree,Student,4,1
35-39,Male,Japan,Master’s degree,Software Engineer,1,0
30-34,Male,United States of America,Doctoral degree,Data Scientist,4,1
55-59,Male,Australia,Master’s degree,Software Engineer,6,1
50-54,Male,United States of America,Doctoral degree,Data Scientist,6,1
22-24,Male,India,Bachelor’s degree,Data Scientist,2,1
22-24,Male,United States of America,Bachelor’s degree,Data Analyst,3,0
30-34,Male,United States of America,Doctoral degree,Student,3,1
18-21,Male,India,Bachelor’s degree,Student,2,1
60-69,Male,Netherlands,Bachelor’s degree,Other,3,0
50-54,Male,Spain,Doctoral degree,Product/Project Manager,1,0
35-39,Male,Other,Master’s degree,Data Scientist,4,0
60-69,Male,Other,Master’s degree,Other,4,0
22-24,Male,United States of America,Professional degree,Data Scientist,2,0
22-24,Male,"Iran, Islamic Republic of...",Master’s degree,Not employed,2,1
35-39,Female,United States of America,Doctoral degree,Data Scientist,5,1
18-21,Male,India,Some college/university study without earning a bachelor’s degree,Student,1,1
70+,Male,United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,3,1
30-34,Male,Spain,Master’s degree,Data Scientist,2,1
30-34,Male,United States of America,Doctoral degree,Student,4,1
40-44,Male,Taiwan,Doctoral degree,Data Engineer,2,1
18-21,Male,Nigeria,Bachelor’s degree,Data Analyst,2,0
25-29,Male,Russia,I prefer not to answer,Data Analyst,3,1
25-29,Female,United States of America,Bachelor’s degree,Data Scientist,4,0
25-29,Male,United States of America,Doctoral degree,Research Scientist,4,1
55-59,Male,United States of America,Master’s degree,Data Scientist,6,0
30-34,Male,Malaysia,Professional degree,Other,1,0
50-54,Male,United States of America,Bachelor’s degree,Other,6,1
70+,Male,United States of America,Doctoral degree,Statistician,6,1
25-29,Female,Spain,Master’s degree,Data Scientist,3,1
22-24,Male,Japan,Bachelor’s degree,Data Scientist,1,1
35-39,Male,Switzerland,Doctoral degree,Data Scientist,5,1
22-24,Male,Argentina,Bachelor’s degree,Student,1,1
22-24,Male,India,Bachelor’s degree,Student,1,1
40-44,Female,Algeria,Professional degree,Data Engineer,1,1
25-29,Male,United States of America,Bachelor’s degree,Data Scientist,3,1
50-54,Male,Canada,Master’s degree,Data Scientist,6,1
35-39,Female,Turkey,Doctoral degree,Research Scientist,5,1
40-44,Male,United States of America,Master’s degree,Data Engineer,4,1
25-29,Male,Brazil,Bachelor’s degree,Data Scientist,3,0
30-34,Male,Taiwan,Master’s degree,Data Scientist,2,1
25-29,Male,Other,Master’s degree,Not employed,2,1
22-24,Male,Greece,Bachelor’s degree,Student,1,1
60-69,Male,United States of America,Doctoral degree,Data Analyst,6,1
60-69,Male,United States of America,Doctoral degree,Statistician,6,0
45-49,Male,Other,No formal education past high school,Software Engineer,1,0
45-49,Male,Germany,Master’s degree,Other,6,1
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Professional degree,Data Scientist,4,1
22-24,Male,Nigeria,Bachelor’s degree,Software Engineer,2,1
40-44,Male,Australia,Master’s degree,Data Scientist,5,1
25-29,Male,Other,Master’s degree,Other,2,0
18-21,Male,India,Master’s degree,Student,1,1
25-29,Female,United States of America,Bachelor’s degree,Data Scientist,4,1
35-39,Male,New Zealand,Master’s degree,Data Scientist,4,0
40-44,Male,Brazil,Bachelor’s degree,Data Analyst,1,1
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,3,1
30-34,Male,Turkey,Master’s degree,Student,1,1
18-21,Male,Brazil,Some college/university study without earning a bachelor’s degree,Student,1,1
40-44,Male,United States of America,Master’s degree,Data Scientist,6,1
35-39,Male,United States of America,Doctoral degree,Data Scientist,5,0
25-29,Male,France,Master’s degree,Data Analyst,3,1
30-34,Male,Mexico,Master’s degree,Data Scientist,3,1
22-24,Male,Japan,Master’s degree,Student,3,1
35-39,Male,United States of America,Doctoral degree,Data Scientist,4,1
35-39,Male,Germany,Doctoral degree,Research Scientist,5,1
22-24,Male,Tunisia,Bachelor’s degree,Student,2,1
30-34,Male,Australia,Master’s degree,Research Scientist,4,1
25-29,Male,Morocco,Master’s degree,Other,1,0
25-29,Male,Australia,Master’s degree,Data Scientist,3,1
45-49,Male,United States of America,Doctoral degree,Research Scientist,5,1
22-24,Male,Colombia,Bachelor’s degree,Software Engineer,1,1
50-54,Male,Brazil,Master’s degree,Business Analyst,6,0
40-44,Male,United States of America,Master’s degree,Software Engineer,3,1
30-34,Female,United States of America,Master’s degree,Data Analyst,4,1
18-21,Male,Russia,Bachelor’s degree,Data Scientist,1,0
30-34,Male,Netherlands,Master’s degree,Data Scientist,5,1
30-34,Female,Brazil,Some college/university study without earning a bachelor’s degree,Software Engineer,2,0
22-24,Male,Portugal,Master’s degree,Data Scientist,2,0
40-44,Male,United States of America,Master’s degree,Other,3,1
45-49,Male,Peru,Master’s degree,Other,5,0
40-44,Male,Singapore,Bachelor’s degree,Data Scientist,2,0
35-39,Male,United States of America,Doctoral degree,Data Scientist,5,1
25-29,Male,Japan,Master’s degree,Software Engineer,2,1
18-21,Male,India,Bachelor’s degree,Student,1,1
45-49,Male,United States of America,Master’s degree,Software Engineer,3,0
22-24,Female,Tunisia,Doctoral degree,Research Scientist,2,1
30-34,Male,Nigeria,Bachelor’s degree,Software Engineer,1,0
22-24,Male,United States of America,Bachelor’s degree,Other,3,1
35-39,Male,South Korea,Professional degree,Data Analyst,2,1
50-54,Male,Argentina,Doctoral degree,Research Scientist,5,1
25-29,Male,India,Bachelor’s degree,Student,2,1
30-34,Male,United States of America,Master’s degree,Research Scientist,4,0
22-24,Male,Morocco,Master’s degree,Not employed,3,1
25-29,Male,Japan,Bachelor’s degree,Data Scientist,3,1
22-24,Male,United States of America,Bachelor’s degree,Student,1,1
22-24,Male,Colombia,Professional degree,Software Engineer,3,0
18-21,Male,Nigeria,Some college/university study without earning a bachelor’s degree,Student,3,1
50-54,Male,Australia,Master’s degree,Data Scientist,3,1
25-29,Male,Brazil,Bachelor’s degree,Data Scientist,3,0
30-34,Male,Argentina,Doctoral degree,Data Scientist,4,1
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,2,1
22-24,Female,United States of America,Master’s degree,Data Scientist,3,1
35-39,Male,Australia,Bachelor’s degree,Software Engineer,1,1
25-29,Female,Malaysia,Master’s degree,Data Analyst,4,0
25-29,Male,Japan,Master’s degree,Research Scientist,4,0
45-49,Male,Brazil,Bachelor’s degree,Product/Project Manager,2,1
30-34,Male,Japan,Master’s degree,Data Scientist,5,0
30-34,Female,Taiwan,Master’s degree,Other,4,1
25-29,Male,United States of America,Master’s degree,Student,1,1
60-69,Male,Japan,Doctoral degree,Research Scientist,4,0
25-29,Male,United States of America,Master’s degree,Data Engineer,3,1
30-34,Male,Russia,Master’s degree,Software Engineer,3,1
50-54,Male,Taiwan,Master’s degree,Software Engineer,1,0
25-29,Male,Morocco,Bachelor’s degree,Software Engineer,4,0
25-29,Male,Brazil,Master’s degree,Data Scientist,4,1
30-34,Male,United States of America,Master’s degree,Data Analyst,4,0
35-39,Male,"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,4,1
22-24,Male,Italy,Bachelor’s degree,Software Engineer,1,1
55-59,Female,United States of America,Doctoral degree,Data Scientist,6,0
30-34,Male,Australia,Bachelor’s degree,Data Engineer,3,0
35-39,Male,Taiwan,Bachelor’s degree,Business Analyst,2,0
35-39,Male,Turkey,Doctoral degree,Research Scientist,2,1
45-49,Male,Mexico,Doctoral degree,Research Scientist,2,0
45-49,Female,United States of America,Doctoral degree,Student,4,1
22-24,Male,Malaysia,Bachelor’s degree,Product/Project Manager,2,0
50-54,Male,United States of America,Bachelor’s degree,Software Engineer,2,1
55-59,Male,United States of America,Master’s degree,Other,6,1
25-29,Male,Brazil,Master’s degree,Data Scientist,4,1
40-44,Male,Taiwan,Bachelor’s degree,Product/Project Manager,2,0
30-34,Male,Japan,Doctoral degree,Software Engineer,4,1
25-29,Male,United States of America,Doctoral degree,Student,4,1
25-29,Male,Belarus,Bachelor’s degree,Software Engineer,1,0
18-21,Male,Colombia,Bachelor’s degree,Data Engineer,1,1
45-49,Male,United States of America,Master’s degree,Not employed,3,1
35-39,Prefer to self-describe,Canada,Bachelor’s degree,Other,1,0
25-29,Male,India,Professional degree,Software Engineer,2,1
35-39,Male,Germany,Master’s degree,Other,5,1
40-44,Female,United States of America,Master’s degree,Data Scientist,5,0
40-44,Male,Argentina,Master’s degree,Not employed,2,1
25-29,Male,Canada,Doctoral degree,Student,3,1
18-21,Male,Indonesia,Bachelor’s degree,Research Scientist,2,0
25-29,Male,Brazil,Master’s degree,Student,2,1
25-29,Male,Other,Doctoral degree,Not employed,2,1
30-34,Male,Japan,Some college/university study without earning a bachelor’s degree,Data Engineer,2,1
35-39,Male,United States of America,Bachelor’s degree,Software Engineer,1,0
25-29,Male,China,Master’s degree,Software Engineer,3,0
45-49,Male,Australia,Master’s degree,Business Analyst,3,0
30-34,Male,United States of America,Bachelor’s degree,Business Analyst,1,0
25-29,Female,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3,1
30-34,Male,United States of America,Doctoral degree,Research Scientist,5,0
30-34,Male,Brazil,Master’s degree,DBA/Database Engineer,1,1
30-34,Male,United States of America,Master’s degree,Software Engineer,1,1
25-29,Male,Nigeria,Master’s degree,Other,1,0
22-24,Male,Brazil,Bachelor’s degree,Software Engineer,2,1
35-39,Female,United States of America,Master’s degree,Not employed,2,1
25-29,Female,Poland,Bachelor’s degree,Other,3,1
30-34,Male,United States of America,Master’s degree,Data Scientist,4,1
25-29,Male,Colombia,Bachelor’s degree,Other,3,1
22-24,Male,Brazil,Master’s degree,Data Scientist,2,0
25-29,Female,Brazil,Master’s degree,Data Scientist,4,1
18-21,Male,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,2,1
25-29,Male,United States of America,Doctoral degree,Data Scientist,4,0
35-39,Female,Canada,Doctoral degree,Data Scientist,2,0
25-29,Male,United States of America,Master’s degree,Data Engineer,3,1
25-29,Male,Algeria,Bachelor’s degree,Product/Project Manager,2,1
25-29,Male,Australia,Some college/university study without earning a bachelor’s degree,Other,2,1
40-44,Male,Argentina,Bachelor’s degree,Software Engineer,1,0
30-34,Male,Brazil,Bachelor’s degree,Student,2,1
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Software Engineer,1,0
60-69,Male,United States of America,Some college/university study without earning a bachelor’s degree,Student,1,1
22-24,Male,Spain,Master’s degree,Student,1,1
50-54,Male,United States of America,Doctoral degree,Research Scientist,6,0
30-34,Male,Malaysia,Master’s degree,Not employed,2,1
25-29,Male,Mexico,Professional degree,Data Scientist,3,0
25-29,Male,Japan,Master’s degree,Research Scientist,2,0
30-34,Female,Other,Doctoral degree,Research Scientist,6,0
60-69,Male,United States of America,Master’s degree,Other,6,1
35-39,Male,United States of America,Bachelor’s degree,Software Engineer,1,1
45-49,Male,Mexico,Doctoral degree,Research Scientist,4,0
25-29,Male,Peru,Master’s degree,Software Engineer,2,0
25-29,Male,United States of America,Master’s degree,Software Engineer,3,0
22-24,Female,United States of America,Master’s degree,Student,0,1
22-24,Male,Philippines,Master’s degree,Software Engineer,1,0
40-44,Male,Japan,Master’s degree,Research Scientist,3,0
25-29,Male,United States of America,Bachelor’s degree,Data Analyst,3,0
18-21,Male,"Iran, Islamic Republic of...",Some college/university study without earning a bachelor’s degree,Data Scientist,2,0
30-34,Male,Argentina,Master’s degree,Business Analyst,2,0
35-39,Male,Switzerland,Doctoral degree,Research Scientist,5,1
40-44,Male,United States of America,Bachelor’s degree,Product/Project Manager,4,1
18-21,Male,India,Bachelor’s degree,Student,2,1
40-44,Male,Singapore,Bachelor’s degree,Data Scientist,3,1
22-24,Female,United States of America,Master’s degree,Student,1,1
25-29,Male,United States of America,Master’s degree,Data Scientist,2,1
22-24,Male,Indonesia,Master’s degree,Data Scientist,1,0
35-39,Male,Australia,Master’s degree,Student,3,1
50-54,Male,Australia,No formal education past high school,Product/Project Manager,5,1
40-44,Male,United States of America,Master’s degree,Business Analyst,3,1
30-34,Male,Other,Master’s degree,Data Engineer,5,1
55-59,Male,United States of America,Bachelor’s degree,Software Engineer,1,0
22-24,Prefer not to say,United States of America,Some college/university study without earning a bachelor’s degree,Student,2,1
35-39,Male,Brazil,Professional degree,Software Engineer,4,0
30-34,Male,Germany,Master’s degree,Data Scientist,3,1
22-24,Male,India,Bachelor’s degree,Software Engineer,1,0
45-49,Female,United States of America,Bachelor’s degree,Product/Project Manager,1,0
35-39,Male,Germany,Master’s degree,Other,3,1
18-21,Male,Japan,Some college/university study without earning a bachelor’s degree,Data Scientist,2,0
22-24,Male,Nigeria,Bachelor’s degree,Student,1,1
25-29,Male,Germany,Master’s degree,Data Scientist,1,1
22-24,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,2,1
30-34,Male,Japan,Master’s degree,Software Engineer,2,1
25-29,Male,United States of America,Master’s degree,Data Scientist,3,1
30-34,Male,Japan,Master’s degree,Research Scientist,4,1
35-39,Male,Brazil,Doctoral degree,Data Analyst,3,1
70+,Male,United States of America,Doctoral degree,Research Scientist,6,1
25-29,Male,Brazil,Professional degree,Data Analyst,0,0
22-24,Male,Mexico,Bachelor’s degree,Software Engineer,1,0
45-49,Prefer not to say,Colombia,Master’s degree,Not employed,3,1
40-44,Male,Argentina,Professional degree,Other,0,0
40-44,Female,Canada,Doctoral degree,Data Scientist,4,1
40-44,Female,United States of America,Master’s degree,Not employed,1,1
45-49,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,1,0
25-29,Male,United States of America,Master’s degree,Data Scientist,3,1
30-34,Male,Australia,Master’s degree,Software Engineer,2,1
40-44,Male,United States of America,Master’s degree,Data Analyst,2,0
30-34,Male,United States of America,Master’s degree,Not employed,3,1
35-39,Male,United States of America,Doctoral degree,Data Scientist,4,1
60-69,Male,United States of America,Master’s degree,Product/Project Manager,4,1
35-39,Male,Mexico,Doctoral degree,Data Scientist,5,1
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,4,1
25-29,Male,Japan,Some college/university study without earning a bachelor’s degree,Data Analyst,3,0
35-39,Male,United States of America,Doctoral degree,Software Engineer,4,0
50-54,Male,Brazil,Doctoral degree,Research Scientist,3,1
45-49,Female,Canada,Bachelor’s degree,Other,4,0
40-44,Male,Australia,Master’s degree,Data Engineer,5,0
30-34,Female,Other,Master’s degree,Other,0,0
30-34,Male,Australia,Master’s degree,Data Scientist,3,1
30-34,Male,Portugal,Bachelor’s degree,Data Scientist,3,1
35-39,Male,Republic of Korea,Some college/university study without earning a bachelor’s degree,Product/Project Manager,3,0
25-29,Male,Brazil,Bachelor’s degree,Data Scientist,3,1
45-49,Male,Colombia,Master’s degree,Product/Project Manager,2,1
30-34,Male,Poland,Doctoral degree,Data Scientist,3,1
40-44,Male,Peru,Doctoral degree,Other,1,0
30-34,Female,United States of America,Master’s degree,Research Scientist,3,0
40-44,Male,Taiwan,Bachelor’s degree,Software Engineer,1,0
45-49,Male,United States of America,Master’s degree,Business Analyst,5,0
55-59,Male,Russia,Doctoral degree,Research Scientist,3,0
25-29,Male,Indonesia,Master’s degree,Data Analyst,1,0
40-44,Female,Malaysia,Master’s degree,Not employed,1,1
55-59,Prefer not to say,Other,Master’s degree,Data Scientist,2,0
22-24,Male,Ireland,Master’s degree,Student,1,1
35-39,Male,Other,Doctoral degree,Research Scientist,5,1
18-21,Male,India,Master’s degree,Student,1,1
25-29,Male,United States of America,Bachelor’s degree,Data Scientist,2,1
35-39,Male,United States of America,Bachelor’s degree,Other,1,0
70+,Female,Brazil,Doctoral degree,Research Scientist,5,1
45-49,Male,Japan,Master’s degree,Data Engineer,4,1
18-21,Male,Colombia,Bachelor’s degree,Student,2,1
25-29,Male,United States of America,Bachelor’s degree,Data Scientist,3,1
35-39,Prefer not to say,Spain,Master’s degree,Software Engineer,5,1
45-49,Male,Hong Kong (S.A.R.),Master’s degree,Product/Project Manager,3,1
22-24,Male,Japan,Bachelor’s degree,Data Scientist,3,1
40-44,Male,South Korea,Bachelor’s degree,Product/Project Manager,1,0
45-49,Female,United States of America,Bachelor’s degree,Other,1,0
40-44,Male,Brazil,Master’s degree,Data Scientist,2,0
35-39,Male,Republic of Korea,Master’s degree,Data Scientist,5,0
25-29,Male,Japan,Master’s degree,Data Scientist,4,0
22-24,Male,Pakistan,Bachelor’s degree,Student,2,1
25-29,Male,Malaysia,Bachelor’s degree,Business Analyst,2,0
35-39,Female,Chile,Master’s degree,Business Analyst,1,0
35-39,Male,India,Master’s degree,Other,2,1
22-24,Male,South Korea,Master’s degree,Student,2,1
30-34,Female,United States of America,Doctoral degree,Not employed,1,1
22-24,Male,Canada,Bachelor’s degree,Student,1,1
55-59,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,4,1
35-39,Male,Philippines,Bachelor’s degree,Software Engineer,3,1
18-21,Male,Turkey,Bachelor’s degree,Data Scientist,1,0
18-21,Male,India,Bachelor’s degree,Student,1,1
25-29,Female,Canada,Doctoral degree,Other,3,0
40-44,Male,United States of America,Master’s degree,Business Analyst,4,1
35-39,Female,Malaysia,Doctoral degree,Student,3,1
55-59,Male,United States of America,Bachelor’s degree,Software Engineer,6,1
45-49,Male,Taiwan,I prefer not to answer,Research Scientist,3,0
25-29,Male,Singapore,Bachelor’s degree,Data Scientist,3,1
30-34,Male,United States of America,Bachelor’s degree,Data Scientist,3,1
18-21,Female,India,Bachelor’s degree,Student,1,1
35-39,Female,United States of America,Master’s degree,Data Scientist,3,1
30-34,Male,Japan,Master’s degree,Data Scientist,3,0
18-21,Male,Indonesia,Bachelor’s degree,Student,2,1
40-44,Male,Japan,Bachelor’s degree,Other,6,0
30-34,Male,United States of America,Master’s degree,Data Analyst,4,1
45-49,Male,United States of America,Bachelor’s degree,Software Engineer,3,1
35-39,Male,United States of America,Doctoral degree,Data Scientist,4,0
40-44,Male,Japan,Doctoral degree,Other,5,0
22-24,Female,Japan,Bachelor’s degree,Data Scientist,2,1
18-21,Male,India,Bachelor’s degree,Student,2,1
35-39,Male,United States of America,Master’s degree,Data Scientist,5,1
30-34,Male,Nigeria,Bachelor’s degree,Data Analyst,2,0
22-24,Female,Malaysia,Bachelor’s degree,Student,2,1
50-54,Male,Indonesia,Bachelor’s degree,Business Analyst,2,0
25-29,Male,Japan,Master’s degree,Other,1,1
30-34,Male,India,Master’s degree,Other,1,0
60-69,Male,Japan,Doctoral degree,Research Scientist,4,0
60-69,Male,Chile,Master’s degree,Student,3,1
30-34,Male,Japan,Bachelor’s degree,Data Scientist,2,1
35-39,Male,Australia,Master’s degree,Other,4,1
30-34,Male,United States of America,Master’s degree,Other,4,1
25-29,Female,Indonesia,Professional degree,Not employed,3,1
30-34,Male,United States of America,Bachelor’s degree,Data Engineer,4,1
22-24,Male,United States of America,Bachelor’s degree,Student,2,1
22-24,Male,Japan,Master’s degree,Student,1,1
35-39,Male,Japan,Master’s degree,Software Engineer,2,1
45-49,Male,Japan,Bachelor’s degree,Other,3,0
35-39,Male,Colombia,Master’s degree,DBA/Database Engineer,1,0
50-54,Male,Argentina,Bachelor’s degree,Software Engineer,5,0
40-44,Male,United States of America,Bachelor’s degree,Software Engineer,4,1
30-34,Male,Canada,Master’s degree,Other,1,0
30-34,Male,United States of America,Doctoral degree,Business Analyst,3,1
45-49,Male,New Zealand,Doctoral degree,Research Scientist,6,1
22-24,Male,Philippines,Bachelor’s degree,Data Scientist,3,1
40-44,Male,Republic of Korea,Doctoral degree,Data Scientist,4,1
18-21,Male,China,Bachelor’s degree,Other,5,0
40-44,Male,India,Professional degree,Business Analyst,4,0
25-29,Male,Singapore,Master’s degree,Data Scientist,3,1
22-24,Male,China,Doctoral degree,Student,4,1
30-34,Male,Malaysia,Master’s degree,Data Scientist,3,0
35-39,Male,United States of America,Doctoral degree,Student,3,1
40-44,Male,Malaysia,Doctoral degree,Student,4,1
18-21,Male,India,Master’s degree,Data Scientist,2,0
50-54,Male,Japan,Some college/university study without earning a bachelor’s degree,Student,2,1
40-44,Female,Singapore,Master’s degree,Other,6,1
45-49,Male,United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,4,0
25-29,Male,Belarus,Some college/university study without earning a bachelor’s degree,Data Engineer,3,1
25-29,Male,United States of America,Master’s degree,Data Analyst,3,1
25-29,Male,Japan,Master’s degree,Data Scientist,2,1
60-69,Male,Canada,Master’s degree,Data Analyst,6,0
22-24,Male,United States of America,Master’s degree,Data Analyst,2,0
25-29,Female,United States of America,Master’s degree,Not employed,2,1
22-24,Female,United States of America,Master’s degree,Research Scientist,3,1
45-49,Male,Brazil,Bachelor’s degree,Data Analyst,3,1
18-21,Male,Viet Nam,Bachelor’s degree,Student,2,1
40-44,Prefer not to say,United States of America,Master’s degree,Software Engineer,4,1
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,4,1
22-24,Male,India,Bachelor’s degree,Student,2,1
45-49,Male,United States of America,Master’s degree,Data Scientist,4,1
35-39,Male,Brazil,Master’s degree,Business Analyst,1,0
45-49,Male,Spain,Bachelor’s degree,Data Scientist,3,1
30-34,Female,India,Bachelor’s degree,Data Scientist,3,1
30-34,Male,United States of America,Doctoral degree,Data Scientist,4,1
30-34,Female,Taiwan,Master’s degree,Other,1,0
25-29,Male,Taiwan,Master’s degree,Software Engineer,2,1
40-44,Female,Japan,Some college/university study without earning a bachelor’s degree,Data Scientist,2,0
30-34,Male,United States of America,Doctoral degree,Data Scientist,5,1
40-44,Male,Japan,Doctoral degree,Data Scientist,3,1
30-34,Male,Argentina,Master’s degree,Product/Project Manager,2,0
25-29,Male,Canada,Doctoral degree,Other,3,1
50-54,Male,Australia,Master’s degree,Data Scientist,3,1
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3,0
40-44,Male,Japan,Master’s degree,Data Scientist,3,1
25-29,Male,United States of America,Master’s degree,Data Scientist,3,1
22-24,Male,Japan,Master’s degree,Data Scientist,3,1
30-34,Male,Japan,Bachelor’s degree,Data Analyst,2,0
25-29,Female,United States of America,Master’s degree,Data Scientist,4,1
25-29,Male,United States of America,Master’s degree,Data Scientist,3,1
45-49,Male,Russia,I prefer not to answer,Data Engineer,3,0
22-24,Female,Canada,Bachelor’s degree,Research Scientist,0,1
60-69,Male,United States of America,Master’s degree,Data Scientist,6,1
30-34,Male,Singapore,Master’s degree,Data Scientist,3,1
25-29,Male,Other,Bachelor’s degree,Data Scientist,2,1
25-29,Male,Argentina,Master’s degree,Software Engineer,3,1
25-29,Male,Philippines,Master’s degree,Data Scientist,2,0
30-34,Female,United States of America,Master’s degree,Data Engineer,4,1
25-29,Female,United States of America,Bachelor’s degree,Data Scientist,3,1
40-44,Male,United States of America,Bachelor’s degree,Software Engineer,5,1
35-39,Male,India,Master’s degree,Product/Project Manager,1,0
25-29,Female,Canada,Master’s degree,Product/Project Manager,2,0
30-34,Male,Brazil,Doctoral degree,Other,4,1
45-49,Male,Thailand,Master’s degree,Product/Project Manager,1,0
40-44,Male,United States of America,Doctoral degree,Data Scientist,4,1
